,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
218,hardest-interleaved,tags-replacement,curriculum-strict-shuffled,0.9092,0.8183313743153854,4644,4448,458,450,0.9688138575698194,0.9698378500605366
215,hardest-interleaved,tags-replacement,larger-batches-larger-learning-rate,0.9092,0.8183295015049764,4654,4438,468,440,0.968926137253951,0.9699969133719861
5,vinai-preprocessing,hardest-interleaved,curriculum-strict,0.909,0.8179288849262195,4647,4443,463,447,0.968733809277551,0.9697280902248562
4,vinai-preprocessing,hardest-interleaved,no-easy,0.9089,0.8177284705294738,4650,4439,467,444,0.9690382968956548,0.9700146408024026
126,vinai-preprocessing,easiest-appended,mispredictions-appended,0.9089,0.8177692211542292,4624,4465,441,470,0.9682780281862821,0.969166517159714
210,hardest-interleaved,tags-replacement,no-easy,0.9088,0.817533060428899,4657,4431,475,437,0.9690051251714407,0.9699783967674264
260,hardest-interleaved,no-easy,larger-batches-larger-learning-rate,0.9088,0.8175296300368544,4644,4444,462,450,0.9687278271632326,0.9697018433679133
190,hardest-interleaved,easiest-interleaved,tags-replacement,0.9087,0.8173288135368878,4645,4442,464,449,0.969127148299295,0.9702305754927625
9,vinai-preprocessing,hardest-interleaved,larger-batches-larger-learning-rate,0.9087,0.8173288140824253,4651,4436,470,443,0.9689462243535354,0.970006232123646
586,tags-replacement,easiest-appended,mispredictions-appended,0.9087,0.8173598924195232,4626,4461,445,468,0.9681724108568933,0.9690695014934201
213,hardest-interleaved,tags-replacement,easiest-appended,0.9086,0.8171383812010384,4635,4451,455,459,0.9687265066965268,0.9696866359746477
12,vinai-preprocessing,hardest-interleaved,curriculum-strict-shuffled,0.9086,0.8171383812010384,4635,4451,455,459,0.9688202998467776,0.9698402944531077
198,hardest-interleaved,easiest-interleaved,larger-batches-larger-learning-rate,0.9085,0.8169297015992802,4642,4443,463,452,0.9686749284667173,0.9697382099331491
47,vinai-preprocessing,tags-replacement,curriculum-strict-shuffled,0.9084,0.8167381142371583,4659,4425,481,435,0.9682267700696134,0.9692142851494787
372,easiest-interleaved,tags-replacement,hardest-appended,0.9083,0.8165373734547485,4634,4449,457,460,0.9688826018668039,0.9700538689171078
211,hardest-interleaved,tags-replacement,curriculum-strict,0.9082,0.816327795070514,4646,4436,470,448,0.9687416920636429,0.9697224121048051
