,model 1,model 2,acc,mcc,tp,tn,fp,fn,auroc,auprc
25,train_batch_size-32,learning_rate-4e-05,0.9087538619979403,0.8174860951760027,4472,4352,452,434,0.9692244377477256,0.9685973413395972
47,weight_decay-0.02,learning_rate-4e-05,0.9082389289392379,0.8164612334093624,4457,4362,442,449,0.9685539431911102,0.9678524567633661
24,train_batch_size-32,warmup_ratio-0.05,0.9081359423274974,0.8162566208840654,4476,4342,462,430,0.9694359071272649,0.9688301034657891
52,warmup_ratio-0.05,learning_rate-4e-05,0.9081359423274974,0.8162516085080614,4460,4358,446,446,0.9687396577726197,0.9681409405288843
32,default,learning_rate-4e-05,0.9076210092687951,0.815220061918613,4460,4353,451,446,0.9686007430959321,0.9679815320467805
15,weight_decay-0.005,learning_rate-1e-05,0.9076210092687951,0.8152208601894514,4468,4345,459,438,0.9687769534356646,0.9681512038290044
43,dropout-0.2,learning_rate-4e-05,0.9076210092687951,0.815220061918613,4460,4353,451,446,0.9686007430959321,0.9679815320467805
38,dropout-0.05,learning_rate-4e-05,0.9076210092687951,0.815220061918613,4460,4353,451,446,0.9686007430959321,0.9679815320467805
19,train_batch_size-32,default,0.9075180226570546,0.8150191886307213,4472,4340,464,434,0.9692815692725149,0.9686601184752859
1,warmup_ratio-0.2,train_batch_size-32,0.9075180226570546,0.8150159868009407,4469,4343,461,437,0.9692388426141687,0.9686118262288289
21,train_batch_size-32,dropout-0.2,0.9075180226570546,0.8150191886307213,4472,4340,464,434,0.9692815692725149,0.9686601184752859
20,train_batch_size-32,dropout-0.05,0.9075180226570546,0.8150191886307213,4472,4340,464,434,0.9692815692725149,0.9686601184752859
50,learning_rate-1e-05,learning_rate-4e-05,0.9075180226570546,0.8150135371505461,4461,4351,453,445,0.9690105923077419,0.9684079580201715
10,weight_decay-0.005,train_batch_size-32,0.9074150360453141,0.8148125559360707,4471,4340,464,435,0.9692731469868329,0.9686456022167783
17,weight_decay-0.005,learning_rate-4e-05,0.9073120494335737,0.8146036408713625,4456,4354,450,450,0.9685786372478703,0.9679897667626524
