,model 1,model 2,acc,mcc,tp,tn,fp,fn,auroc,auprc
25,train_batch_size-32,learning_rate-4e-05,0.9087538619979403,0.8174860951760027,4472,4352,452,434,0.9694402137368201,0.9688578251893066
47,weight_decay-0.02,learning_rate-4e-05,0.9082389289392379,0.8164612334093624,4457,4362,442,449,0.9686569199535786,0.967963282342997
24,train_batch_size-32,warmup_ratio-0.05,0.9081359423274974,0.8162566208840654,4476,4342,462,430,0.9695329013089717,0.9689388316118888
52,warmup_ratio-0.05,learning_rate-4e-05,0.9081359423274974,0.8162516085080614,4460,4358,446,446,0.9687877517817907,0.9682081041300314
32,default,learning_rate-4e-05,0.9076210092687951,0.815220061918613,4460,4353,451,446,0.9686892513474809,0.9680878313739033
15,weight_decay-0.005,learning_rate-1e-05,0.9076210092687951,0.8152208601894514,4468,4345,459,438,0.9688264476233116,0.9682211588588119
43,dropout-0.2,learning_rate-4e-05,0.9076210092687951,0.815220061918613,4460,4353,451,446,0.9686892513474809,0.9680878313739033
38,dropout-0.05,learning_rate-4e-05,0.9076210092687951,0.815220061918613,4460,4353,451,446,0.9686892513474809,0.9680878313739033
19,train_batch_size-32,default,0.9075180226570546,0.8150191886307213,4472,4340,464,434,0.9693988660421248,0.9687865149198084
1,warmup_ratio-0.2,train_batch_size-32,0.9075180226570546,0.8150159868009407,4469,4343,461,437,0.969357221339874,0.9687380521912687
21,train_batch_size-32,dropout-0.2,0.9075180226570546,0.8150191886307213,4472,4340,464,434,0.9693988660421248,0.9687865149198084
20,train_batch_size-32,dropout-0.05,0.9075180226570546,0.8150191886307213,4472,4340,464,434,0.9693988660421248,0.9687865149198084
50,learning_rate-1e-05,learning_rate-4e-05,0.9075180226570546,0.8150135371505461,4461,4351,453,445,0.9691020706348461,0.9685308692136605
10,weight_decay-0.005,train_batch_size-32,0.9074150360453141,0.8148125559360707,4471,4340,464,435,0.9693923955203793,0.968775934813656
17,weight_decay-0.005,learning_rate-4e-05,0.9073120494335737,0.8146036408713625,4456,4354,450,450,0.9687089811350984,0.9681497899642642
2,warmup_ratio-0.2,default,0.9072090628218331,0.8143953177931514,4461,4348,456,445,0.9686371901659611,0.9680754060566522
4,warmup_ratio-0.2,dropout-0.2,0.9072090628218331,0.8143953177931514,4461,4348,456,445,0.9686371901659611,0.9680754060566522
3,warmup_ratio-0.2,dropout-0.05,0.9072090628218331,0.8143953177931514,4461,4348,456,445,0.9686371901659611,0.9680754060566522
8,warmup_ratio-0.2,learning_rate-4e-05,0.9071060762100926,0.8141935336334309,4453,4355,449,453,0.9686361294246912,0.9680010871496184
30,default,learning_rate-1e-05,0.9069001029866117,0.8137808526842978,4467,4339,465,439,0.9688615793741661,0.9682798590289203
34,dropout-0.05,dropout-0.2,0.9069001029866117,0.8137791490377587,4465,4341,463,441,0.9684884954547661,0.9678851831862293
36,dropout-0.05,learning_rate-1e-05,0.9069001029866117,0.8137808526842978,4467,4339,465,439,0.9688615793741661,0.9682798590289203
28,default,dropout-0.2,0.9069001029866117,0.8137791490377587,4465,4341,463,441,0.9684884954547661,0.9678851831862293
41,dropout-0.2,learning_rate-1e-05,0.9069001029866117,0.8137808526842978,4467,4339,465,439,0.9688615793741661,0.9682798590289203
27,default,dropout-0.05,0.9069001029866117,0.8137791490377587,4465,4341,463,441,0.9684884954547661,0.9678851831862293
0,warmup_ratio-0.2,weight_decay-0.005,0.9066941297631308,0.8133664912343572,4463,4341,463,443,0.9686145115176136,0.9680437977681575
5,warmup_ratio-0.2,weight_decay-0.02,0.9066941297631308,0.8133655387470015,4457,4347,457,449,0.968574436712442,0.9679303236111257
22,train_batch_size-32,weight_decay-0.02,0.9065911431513903,0.8131657175909147,4468,4335,469,438,0.9693653466180003,0.9686774572418483
16,weight_decay-0.005,warmup_ratio-0.05,0.9065911431513903,0.8131602159934019,4462,4341,463,444,0.9687935222142983,0.9682325922629417
49,learning_rate-1e-05,warmup_ratio-0.05,0.9064881565396499,0.8129533875291174,4459,4343,461,447,0.9690395505444064,0.968447669548717
45,weight_decay-0.02,learning_rate-1e-05,0.9064881565396499,0.8129590560043753,4467,4335,469,439,0.9688153734844553,0.9681503231289335
23,train_batch_size-32,learning_rate-1e-05,0.9063851699279094,0.8127503258002557,4464,4337,467,442,0.9692404125112482,0.968486144219301
13,weight_decay-0.005,dropout-0.2,0.9063851699279094,0.8127503258002557,4464,4337,467,442,0.968569069361617,0.967982108185142
11,weight_decay-0.005,default,0.9063851699279094,0.8127503258002557,4464,4337,467,442,0.968569069361617,0.967982108185142
12,weight_decay-0.005,dropout-0.05,0.9063851699279094,0.8127503258002557,4464,4337,467,442,0.968569069361617,0.967982108185142
7,warmup_ratio-0.2,warmup_ratio-0.05,0.9062821833161689,0.8125413489065424,4456,4344,460,450,0.968821207561439,0.9682706348502859
14,weight_decay-0.005,weight_decay-0.02,0.9062821833161689,0.8125424647598539,4461,4339,465,445,0.9685672873162838,0.9679200020099529
40,dropout-0.2,weight_decay-0.02,0.9061791967044284,0.8123367587782142,4461,4338,466,445,0.96857191214822,0.9679380355838045
46,weight_decay-0.02,warmup_ratio-0.05,0.9061791967044284,0.8123357631064916,4459,4340,464,447,0.9687782051103629,0.9681736900536294
54,learning_rate-4e-05,train_batch_size-8,0.9061791967044284,0.8123416616902935,4466,4333,471,440,0.9677403546372045,0.966852044779286
35,dropout-0.05,weight_decay-0.02,0.9061791967044284,0.8123367587782142,4461,4338,466,445,0.96857191214822,0.9679380355838045
