,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
92,train_batch_size-32,dropout-0.05,learning_rate-4e-05,0.9089598352214212,0.8179010626852502,4477,4349,455,429,0.969288612594546,0.9687237785332381
97,train_batch_size-32,dropout-0.2,learning_rate-4e-05,0.9089598352214212,0.8179010626852502,4477,4349,455,429,0.969288612594546,0.9687237785332381
86,train_batch_size-32,default,learning_rate-4e-05,0.9089598352214212,0.8179010626852502,4477,4349,455,429,0.969288612594546,0.9687237785332381
15,warmup_ratio-0.2,train_batch_size-32,learning_rate-4e-05,0.9086508753861998,0.8172793372100501,4468,4355,449,438,0.9692642579749923,0.9686929087035547
106,train_batch_size-32,warmup_ratio-0.05,learning_rate-4e-05,0.9086508753861998,0.8172798782106558,4471,4352,452,435,0.9693826579155228,0.9688271888269381
51,weight_decay-0.005,train_batch_size-32,learning_rate-4e-05,0.9083419155509783,0.8166625971323705,4471,4349,455,435,0.9692755230472772,0.9687221958824718
101,train_batch_size-32,weight_decay-0.02,learning_rate-4e-05,0.9081359423274974,0.816252041828428,4472,4346,458,434,0.9692728924089282,0.9686567338729561
140,dropout-0.05,learning_rate-1e-05,learning_rate-4e-05,0.9080329557157569,0.81604336387058,4466,4351,453,440,0.9690710121304675,0.9685227344999188
113,default,dropout-0.05,learning_rate-4e-05,0.9080329557157569,0.816043328888522,4465,4352,452,441,0.9687285199892872,0.9681469631825312
150,dropout-0.2,learning_rate-1e-05,learning_rate-4e-05,0.9080329557157569,0.81604336387058,4466,4351,453,440,0.9690710121304675,0.9685227344999188
118,default,dropout-0.2,learning_rate-4e-05,0.9080329557157569,0.816043328888522,4465,4352,452,441,0.9687285199892872,0.9681469631825312
10,warmup_ratio-0.2,train_batch_size-32,dropout-0.05,0.9080329557157569,0.8160474879104865,4473,4344,460,433,0.9691770650426181,0.9686031818487022
9,warmup_ratio-0.2,train_batch_size-32,default,0.9080329557157569,0.8160474879104865,4473,4344,460,433,0.9691770650426181,0.9686031818487022
125,default,learning_rate-1e-05,learning_rate-4e-05,0.9080329557157569,0.81604336387058,4466,4351,453,440,0.9690710121304675,0.9685227344999188
133,dropout-0.05,dropout-0.2,learning_rate-4e-05,0.9080329557157569,0.816043328888522,4465,4352,452,441,0.9687285199892872,0.9681469631825312
11,warmup_ratio-0.2,train_batch_size-32,dropout-0.2,0.9080329557157569,0.8160474879104865,4473,4344,460,433,0.9691770650426181,0.9686031818487022
122,default,weight_decay-0.02,learning_rate-4e-05,0.9079299691040165,0.8158373271301285,4465,4351,453,441,0.9687345449996996,0.9681154953899466
137,dropout-0.05,weight_decay-0.02,learning_rate-4e-05,0.9079299691040165,0.8158373271301285,4465,4351,453,441,0.9687345449996996,0.9681154953899466
147,dropout-0.2,weight_decay-0.02,learning_rate-4e-05,0.9079299691040165,0.8158373271301285,4465,4351,453,441,0.9687345449996996,0.9681154953899466
88,train_batch_size-32,dropout-0.05,dropout-0.2,0.9077239958805355,0.8154312151559906,4473,4341,463,433,0.9691191697841146,0.9685325939742381
47,weight_decay-0.005,train_batch_size-32,dropout-0.2,0.9077239958805355,0.8154356714288723,4476,4338,466,430,0.9691359719258276,0.96854630967465
81,train_batch_size-32,default,dropout-0.05,0.9077239958805355,0.8154312151559906,4473,4341,463,433,0.9691191697841146,0.9685325939742381
46,weight_decay-0.005,train_batch_size-32,dropout-0.05,0.9077239958805355,0.8154356714288723,4476,4338,466,430,0.9691359719258276,0.96854630967465
82,train_batch_size-32,default,dropout-0.2,0.9077239958805355,0.8154312151559906,4473,4341,463,433,0.9691191697841146,0.9685325939742381
104,train_batch_size-32,learning_rate-1e-05,learning_rate-4e-05,0.9077239958805355,0.8154254241544054,4465,4349,455,441,0.9694213961866945,0.9688295175197563
37,warmup_ratio-0.2,weight_decay-0.02,learning_rate-4e-05,0.9077239958805355,0.8154258511214743,4461,4353,451,445,0.9687226010530021,0.9680907647390455
12,warmup_ratio-0.2,train_batch_size-32,weight_decay-0.02,0.9077239958805355,0.8154280051434365,4470,4344,460,436,0.9691534529419532,0.9685216839377585
158,weight_decay-0.02,warmup_ratio-0.05,learning_rate-4e-05,0.9077239958805355,0.8154255367514324,4462,4352,452,444,0.9688582274317535,0.9682586286276865
45,weight_decay-0.005,train_batch_size-32,default,0.9077239958805355,0.8154356714288723,4476,4338,466,430,0.9691359719258276,0.96854630967465
100,train_batch_size-32,weight_decay-0.02,warmup_ratio-0.05,0.9076210092687951,0.8152234432002043,4471,4342,462,435,0.9692684160807697,0.9686567845880188
73,weight_decay-0.005,weight_decay-0.02,learning_rate-4e-05,0.9076210092687951,0.8152193539173812,4464,4349,455,442,0.9687355420964932,0.9681264178780621
67,weight_decay-0.005,dropout-0.2,learning_rate-1e-05,0.9076210092687951,0.8152215827738617,4469,4344,460,437,0.9687942647331871,0.9682099067564588
62,weight_decay-0.005,dropout-0.05,learning_rate-1e-05,0.9076210092687951,0.8152215827738617,4469,4344,460,437,0.9687942647331871,0.9682099067564588
56,weight_decay-0.005,default,learning_rate-1e-05,0.9076210092687951,0.8152215827738617,4469,4344,460,437,0.9687942647331871,0.9682099067564588
49,weight_decay-0.005,train_batch_size-32,learning_rate-1e-05,0.9076210092687951,0.8152224437755377,4470,4343,461,436,0.9692018015290287,0.9685638804416594
0,warmup_ratio-0.2,weight_decay-0.005,train_batch_size-32,0.9076210092687951,0.8152234432002043,4471,4342,462,435,0.9691611114939207,0.9685825902035572
14,warmup_ratio-0.2,train_batch_size-32,warmup_ratio-0.05,0.9076210092687951,0.8152208601894514,4468,4345,459,438,0.9693060299661955,0.96873562519472
78,weight_decay-0.005,warmup_ratio-0.05,learning_rate-4e-05,0.9074150360453141,0.8148073205669941,4462,4349,455,444,0.9688701289488003,0.9683196190142046
116,default,dropout-0.2,learning_rate-1e-05,0.9074150360453141,0.8148104241129906,4469,4342,462,437,0.9687812176155691,0.9682084541358595
96,train_batch_size-32,dropout-0.2,warmup_ratio-0.05,0.9074150360453141,0.8148114208450633,4470,4341,463,436,0.9692886550241967,0.9687251001169269
50,weight_decay-0.005,train_batch_size-32,warmup_ratio-0.05,0.9074150360453141,0.8148184800155064,4475,4336,468,431,0.9692724893272457,0.9687021723751403
152,dropout-0.2,warmup_ratio-0.05,learning_rate-4e-05,0.9074150360453141,0.8148074305106058,4461,4350,454,445,0.968879293753371,0.9683181653746014
131,dropout-0.05,dropout-0.2,learning_rate-1e-05,0.9074150360453141,0.8148104241129906,4469,4342,462,437,0.9687812176155691,0.9682084541358595
127,default,warmup_ratio-0.05,learning_rate-4e-05,0.9074150360453141,0.8148074305106058,4461,4350,454,445,0.968879293753371,0.9683181653746014
85,train_batch_size-32,default,warmup_ratio-0.05,0.9074150360453141,0.8148114208450633,4470,4341,463,436,0.9692886550241967,0.9687251001169269
91,train_batch_size-32,dropout-0.05,warmup_ratio-0.05,0.9074150360453141,0.8148114208450633,4470,4341,463,436,0.9692886550241967,0.9687251001169269
142,dropout-0.05,warmup_ratio-0.05,learning_rate-4e-05,0.9074150360453141,0.8148074305106058,4461,4350,454,445,0.968879293753371,0.9683181653746014
111,default,dropout-0.05,learning_rate-1e-05,0.9074150360453141,0.8148104241129906,4469,4342,462,437,0.9687812176155691,0.9682084541358595
95,train_batch_size-32,dropout-0.2,learning_rate-1e-05,0.9073120494335737,0.8146025309461122,4466,4344,460,440,0.9692284685645507,0.968605878574283
58,weight_decay-0.005,default,learning_rate-4e-05,0.9073120494335737,0.8146013574000447,4461,4349,455,445,0.9687484194955079,0.9681824083489772
8,warmup_ratio-0.2,weight_decay-0.005,train_batch_size-8,0.9073120494335737,0.8146071621054521,4471,4339,465,435,0.9684002629959474,0.967699047782882
64,weight_decay-0.005,dropout-0.05,learning_rate-4e-05,0.9073120494335737,0.8146013574000447,4461,4349,455,445,0.9687484194955079,0.9681824083489772
76,weight_decay-0.005,learning_rate-1e-05,learning_rate-4e-05,0.9073120494335737,0.8146014119459761,4463,4347,457,443,0.9690525128027228,0.9685124357360828
28,warmup_ratio-0.2,dropout-0.05,learning_rate-4e-05,0.9073120494335737,0.8146013574000447,4461,4349,455,445,0.9687711405735064,0.9681898583090531
22,warmup_ratio-0.2,default,learning_rate-4e-05,0.9073120494335737,0.8146013574000447,4461,4349,455,445,0.9687711405735064,0.9681898583090531
33,warmup_ratio-0.2,dropout-0.2,learning_rate-4e-05,0.9073120494335737,0.8146013574000447,4461,4349,455,445,0.9687711405735064,0.9681898583090531
84,train_batch_size-32,default,learning_rate-1e-05,0.9073120494335737,0.8146025309461122,4466,4344,460,440,0.9692284685645507,0.968605878574283
42,warmup_ratio-0.2,warmup_ratio-0.05,learning_rate-4e-05,0.9073120494335737,0.8146029076398708,4457,4353,451,449,0.9688865067940055,0.9683238239769298
90,train_batch_size-32,dropout-0.05,learning_rate-1e-05,0.9073120494335737,0.8146025309461122,4466,4344,460,440,0.9692284685645507,0.968605878574283
69,weight_decay-0.005,dropout-0.2,learning_rate-4e-05,0.9073120494335737,0.8146013574000447,4461,4349,455,445,0.9687484194955079,0.9681824083489772
124,default,learning_rate-1e-05,warmup_ratio-0.05,0.9072090628218331,0.8143984044504436,4468,4341,463,438,0.9689603131715553,0.9683897501643187
149,dropout-0.2,learning_rate-1e-05,warmup_ratio-0.05,0.9072090628218331,0.8143984044504436,4468,4341,463,438,0.9689603131715553,0.9683897501643187
139,dropout-0.05,learning_rate-1e-05,warmup_ratio-0.05,0.9072090628218331,0.8143984044504436,4468,4341,463,438,0.9689603131715553,0.9683897501643187
5,warmup_ratio-0.2,weight_decay-0.005,learning_rate-1e-05,0.9072090628218331,0.8143968312148122,4466,4343,461,440,0.9688107486525191,0.9682281557830861
