,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
86,train_batch_size-32,default,learning_rate-4e-05,0.9087538619979403,0.817489041685155,4476,4348,456,430,0.9695089497711005,0.968967798001644
92,train_batch_size-32,dropout-0.05,learning_rate-4e-05,0.9087538619979403,0.817489041685155,4476,4348,456,430,0.9695089497711005,0.968967798001644
97,train_batch_size-32,dropout-0.2,learning_rate-4e-05,0.9087538619979403,0.817489041685155,4476,4348,456,430,0.9695089497711005,0.968967798001644
106,train_batch_size-32,warmup_ratio-0.05,learning_rate-4e-05,0.9086508753861998,0.8172803360401855,4472,4351,453,434,0.9695767523530635,0.9690440273418286
51,weight_decay-0.005,train_batch_size-32,learning_rate-4e-05,0.9084449021627189,0.8168689181387296,4472,4349,455,434,0.9695096074306878,0.968988654686092
15,warmup_ratio-0.2,train_batch_size-32,learning_rate-4e-05,0.9084449021627189,0.8168673738237786,4468,4353,451,438,0.9694920203404351,0.9689495250498071
101,train_batch_size-32,weight_decay-0.02,learning_rate-4e-05,0.9082389289392379,0.8164569036514101,4471,4348,456,435,0.9694932295854828,0.9689143245937146
9,warmup_ratio-0.2,train_batch_size-32,default,0.9081359423274974,0.8162540541422186,4474,4344,460,432,0.9693413526504784,0.9687816847420682
10,warmup_ratio-0.2,train_batch_size-32,dropout-0.05,0.9081359423274974,0.8162540541422186,4474,4344,460,432,0.9693413526504784,0.9687816847420682
11,warmup_ratio-0.2,train_batch_size-32,dropout-0.2,0.9081359423274974,0.8162540541422186,4474,4344,460,432,0.9693413526504784,0.9687816847420682
104,train_batch_size-32,learning_rate-1e-05,learning_rate-4e-05,0.9080329557157569,0.8160435373843864,4467,4350,454,439,0.9696209640491872,0.969085544920433
118,default,dropout-0.2,learning_rate-4e-05,0.9079299691040165,0.8158373271301285,4465,4351,453,441,0.9688284630317242,0.9682475925967539
113,default,dropout-0.05,learning_rate-4e-05,0.9079299691040165,0.8158373271301285,4465,4351,453,441,0.9688284630317242,0.9682475925967539
37,warmup_ratio-0.2,weight_decay-0.02,learning_rate-4e-05,0.9079299691040165,0.8158375363523186,4463,4353,451,443,0.9688372883990886,0.9682048650740622
150,dropout-0.2,learning_rate-1e-05,learning_rate-4e-05,0.9079299691040165,0.8158374302586201,4466,4350,454,440,0.9691900485157598,0.9686725346883985
125,default,learning_rate-1e-05,learning_rate-4e-05,0.9079299691040165,0.8158374302586201,4466,4350,454,440,0.9691900485157598,0.9686725346883985
133,dropout-0.05,dropout-0.2,learning_rate-4e-05,0.9079299691040165,0.8158373271301285,4465,4351,453,441,0.9688284630317242,0.9682475925967539
140,dropout-0.05,learning_rate-1e-05,learning_rate-4e-05,0.9079299691040165,0.8158374302586201,4466,4350,454,440,0.9691900485157598,0.9686725346883985
147,dropout-0.2,weight_decay-0.02,learning_rate-4e-05,0.907826982492276,0.8156313588939805,4465,4350,454,441,0.9688437164911832,0.9682235234129102
46,weight_decay-0.005,train_batch_size-32,dropout-0.05,0.907826982492276,0.8156425537516726,4477,4338,466,429,0.9693059663217192,0.9687242928900817
47,weight_decay-0.005,train_batch_size-32,dropout-0.2,0.907826982492276,0.8156425537516726,4477,4338,466,429,0.9693059663217192,0.9687242928900817
12,warmup_ratio-0.2,train_batch_size-32,weight_decay-0.02,0.907826982492276,0.8156335998138028,4470,4345,459,436,0.9692866608306097,0.9686616603101732
122,default,weight_decay-0.02,learning_rate-4e-05,0.907826982492276,0.8156313588939805,4465,4350,454,441,0.9688437164911832,0.9682235234129102
45,weight_decay-0.005,train_batch_size-32,default,0.907826982492276,0.8156425537516726,4477,4338,466,429,0.9693059663217192,0.9687242928900817
137,dropout-0.05,weight_decay-0.02,learning_rate-4e-05,0.907826982492276,0.8156313588939805,4465,4350,454,441,0.9688437164911832,0.9682235234129102
88,train_batch_size-32,dropout-0.05,dropout-0.2,0.9077239958805355,0.8154312151559906,4473,4341,463,433,0.9692745683801343,0.9686882968255388
100,train_batch_size-32,weight_decay-0.02,warmup_ratio-0.05,0.9077239958805355,0.8154289366846788,4471,4343,461,435,0.9694054638528227,0.9688066673107201
81,train_batch_size-32,default,dropout-0.05,0.9077239958805355,0.8154312151559906,4473,4341,463,433,0.9692745683801343,0.9686882968255388
67,weight_decay-0.005,dropout-0.2,learning_rate-1e-05,0.9077239958805355,0.8154280051434365,4470,4344,460,436,0.9688553846451508,0.9682914118056368
62,weight_decay-0.005,dropout-0.05,learning_rate-1e-05,0.9077239958805355,0.8154280051434365,4470,4344,460,436,0.9688553846451508,0.9682914118056368
56,weight_decay-0.005,default,learning_rate-1e-05,0.9077239958805355,0.8154280051434365,4470,4344,460,436,0.9688553846451508,0.9682914118056368
158,weight_decay-0.02,warmup_ratio-0.05,learning_rate-4e-05,0.9077239958805355,0.8154255367514324,4462,4352,452,444,0.968948114646953,0.9683574951133387
82,train_batch_size-32,default,dropout-0.2,0.9077239958805355,0.8154312151559906,4473,4341,463,433,0.9692745683801343,0.9686882968255388
96,train_batch_size-32,dropout-0.2,warmup_ratio-0.05,0.9076210092687951,0.8152234432002043,4471,4342,462,435,0.9694471721995497,0.9688898548723466
91,train_batch_size-32,dropout-0.05,warmup_ratio-0.05,0.9076210092687951,0.8152234432002043,4471,4342,462,435,0.9694471721995497,0.9688898548723466
85,train_batch_size-32,default,warmup_ratio-0.05,0.9076210092687951,0.8152234432002043,4471,4342,462,435,0.9694471721995497,0.9688898548723466
