,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
140,weight_decay-0.005,train_batch_size-32,weight_decay-0.02,learning_rate-4e-05,0.9086508753861998,0.8172816679735675,4474,4349,455,432,0.9691898151526807,0.9686134986854249
125,weight_decay-0.005,train_batch_size-32,default,learning_rate-4e-05,0.9085478887744594,0.8170760785134197,4474,4348,456,432,0.9692026925516954,0.9686611652039286
131,weight_decay-0.005,train_batch_size-32,dropout-0.05,learning_rate-4e-05,0.9085478887744594,0.8170760785134197,4474,4348,456,432,0.9692026925516954,0.9686611652039286
145,weight_decay-0.005,train_batch_size-32,warmup_ratio-0.05,learning_rate-4e-05,0.9085478887744594,0.8170752750768194,4473,4349,455,433,0.9692993260813706,0.9687627931811408
136,weight_decay-0.005,train_batch_size-32,dropout-0.2,learning_rate-4e-05,0.9085478887744594,0.8170760785134197,4474,4348,456,432,0.9692026925516954,0.9686611652039286
213,train_batch_size-32,default,dropout-0.2,learning_rate-4e-05,0.9083419155509783,0.8166640601709239,4473,4347,457,433,0.9691949491404263,0.9686429970912536
228,train_batch_size-32,dropout-0.05,dropout-0.2,learning_rate-4e-05,0.9083419155509783,0.8166640601709239,4473,4347,457,433,0.9691949491404263,0.9686429970912536
208,train_batch_size-32,default,dropout-0.05,learning_rate-4e-05,0.9083419155509783,0.8166640601709239,4473,4347,457,433,0.9691949491404263,0.9686429970912536
222,train_batch_size-32,default,warmup_ratio-0.05,learning_rate-4e-05,0.9081359423274974,0.8162529786848692,4473,4345,459,433,0.9693087878934967,0.9687735958127957
247,train_batch_size-32,dropout-0.2,warmup_ratio-0.05,learning_rate-4e-05,0.9081359423274974,0.8162529786848692,4473,4345,459,433,0.9693087878934967,0.9687735958127957
217,train_batch_size-32,default,weight_decay-0.02,learning_rate-4e-05,0.9081359423274974,0.816252041828428,4472,4346,458,434,0.969207338598457,0.9686251336469328
232,train_batch_size-32,dropout-0.05,weight_decay-0.02,learning_rate-4e-05,0.9081359423274974,0.816252041828428,4472,4346,458,434,0.969207338598457,0.9686251336469328
242,train_batch_size-32,dropout-0.2,weight_decay-0.02,learning_rate-4e-05,0.9081359423274974,0.816252041828428,4472,4346,458,434,0.969207338598457,0.9686251336469328
237,train_batch_size-32,dropout-0.05,warmup_ratio-0.05,learning_rate-4e-05,0.9081359423274974,0.8162529786848692,4473,4345,459,433,0.9693087878934967,0.9687735958127957
61,warmup_ratio-0.2,train_batch_size-32,warmup_ratio-0.05,learning_rate-4e-05,0.9080329557157569,0.8160438494346147,4468,4349,455,438,0.9693090424714016,0.96876351566573
36,warmup_ratio-0.2,train_batch_size-32,default,dropout-0.05,0.9079299691040165,0.8158420304145336,4473,4343,461,433,0.969081831691419,0.9685174390558772
