,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
131,weight_decay-0.005,train_batch_size-32,dropout-0.05,learning_rate-4e-05,0.9083419155509783,0.8166632593219368,4472,4348,456,434,0.9694528577727557,0.9689360361344996
145,weight_decay-0.005,train_batch_size-32,warmup_ratio-0.05,learning_rate-4e-05,0.9083419155509783,0.8166625971323705,4471,4349,455,435,0.9695291462848767,0.9690186726055116
136,weight_decay-0.005,train_batch_size-32,dropout-0.2,learning_rate-4e-05,0.9083419155509783,0.8166632593219368,4472,4348,456,434,0.9694528577727557,0.9689360361344996
125,weight_decay-0.005,train_batch_size-32,default,learning_rate-4e-05,0.9083419155509783,0.8166632593219368,4472,4348,456,434,0.9694528577727557,0.9689360361344996
242,train_batch_size-32,dropout-0.2,weight_decay-0.02,learning_rate-4e-05,0.9082389289392379,0.8164585027631786,4473,4346,458,433,0.9694431838123755,0.9688869801254858
232,train_batch_size-32,dropout-0.05,weight_decay-0.02,learning_rate-4e-05,0.9082389289392379,0.8164585027631786,4473,4346,458,433,0.9694431838123755,0.9688869801254858
217,train_batch_size-32,default,weight_decay-0.02,learning_rate-4e-05,0.9082389289392379,0.8164585027631786,4473,4346,458,433,0.9694431838123755,0.9688869801254858
140,weight_decay-0.005,train_batch_size-32,weight_decay-0.02,learning_rate-4e-05,0.9082389289392379,0.8164569036514101,4471,4348,456,435,0.9694381771135822,0.9688933548159178
220,train_batch_size-32,default,learning_rate-1e-05,learning_rate-4e-05,0.9081359423274974,0.8162529786848692,4473,4345,459,433,0.969583328948936,0.9690793036750907
228,train_batch_size-32,dropout-0.05,dropout-0.2,learning_rate-4e-05,0.9081359423274974,0.8162540541422186,4474,4344,460,432,0.9694307943543446,0.9688969549800835
245,train_batch_size-32,dropout-0.2,learning_rate-1e-05,learning_rate-4e-05,0.9081359423274974,0.8162529786848692,4473,4345,459,433,0.969583328948936,0.9690793036750907
213,train_batch_size-32,default,dropout-0.2,learning_rate-4e-05,0.9081359423274974,0.8162540541422186,4474,4344,460,432,0.9694307943543446,0.9688969549800835
208,train_batch_size-32,default,dropout-0.05,learning_rate-4e-05,0.9081359423274974,0.8162540541422186,4474,4344,460,432,0.9694307943543446,0.9688969549800835
