,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
133,warmup_ratio-0.2,train_batch_size-32,weight_decay-0.02,warmup_ratio-0.05,learning_rate-4e-05,0.9081359423274974,0.816250583895119,4470,4348,456,436,0.9692272168898522,0.968664626047449
348,train_batch_size-32,default,dropout-0.05,warmup_ratio-0.05,learning_rate-4e-05,0.9081359423274974,0.8162500628072051,4469,4349,455,437,0.9692142334167105,0.9686797271375932
378,train_batch_size-32,dropout-0.05,dropout-0.2,warmup_ratio-0.05,learning_rate-4e-05,0.9081359423274974,0.8162500628072051,4469,4349,455,437,0.9692142334167105,0.9686797271375932
343,train_batch_size-32,default,dropout-0.05,weight_decay-0.02,learning_rate-4e-05,0.9081359423274974,0.8162512435670543,4471,4347,457,435,0.9691168785829718,0.9685468259818963
373,train_batch_size-32,dropout-0.05,dropout-0.2,weight_decay-0.02,learning_rate-4e-05,0.9081359423274974,0.8162512435670543,4471,4347,457,435,0.9691168785829718,0.9685468259818963
358,train_batch_size-32,default,dropout-0.2,warmup_ratio-0.05,learning_rate-4e-05,0.9081359423274974,0.8162500628072051,4469,4349,455,437,0.9692142334167105,0.9686797271375932
353,train_batch_size-32,default,dropout-0.2,weight_decay-0.02,learning_rate-4e-05,0.9081359423274974,0.8162512435670543,4471,4347,457,435,0.9691168785829718,0.9685468259818963
3,warmup_ratio-0.2,weight_decay-0.005,train_batch_size-32,default,learning_rate-1e-05,0.9080329557157569,0.8160464831006317,4472,4345,459,434,0.9691088805937979,0.9685410564299196
9,warmup_ratio-0.2,weight_decay-0.005,train_batch_size-32,dropout-0.05,learning_rate-1e-05,0.9080329557157569,0.8160464831006317,4472,4345,459,434,0.9691088805937979,0.9685410564299196
131,warmup_ratio-0.2,train_batch_size-32,weight_decay-0.02,learning_rate-1e-05,learning_rate-4e-05,0.9080329557157569,0.8160443000261504,4469,4348,456,437,0.9692717468083568,0.9686949008459322
14,warmup_ratio-0.2,weight_decay-0.005,train_batch_size-32,dropout-0.2,learning_rate-1e-05,0.9080329557157569,0.8160464831006317,4472,4345,459,434,0.9691088805937979,0.9685410564299196
257,weight_decay-0.005,train_batch_size-32,weight_decay-0.02,learning_rate-1e-05,learning_rate-4e-05,0.9079299691040165,0.8158400234859322,4471,4345,459,435,0.9692565994230247,0.9686891970038751
362,train_batch_size-32,default,weight_decay-0.02,learning_rate-1e-05,learning_rate-4e-05,0.9079299691040165,0.8158392278121717,4470,4346,458,436,0.9692680554287381,0.968704331009676
360,train_batch_size-32,default,dropout-0.2,learning_rate-4e-05,train_batch_size-8,0.9079299691040165,0.815838052017606,4468,4348,456,438,0.968965341085174,0.9683632008300717
136,warmup_ratio-0.2,train_batch_size-32,learning_rate-1e-05,warmup_ratio-0.05,learning_rate-4e-05,0.9079299691040165,0.8158392278121717,4470,4346,458,436,0.9693560545244773,0.968813931509819
127,warmup_ratio-0.2,train_batch_size-32,dropout-0.2,warmup_ratio-0.05,learning_rate-4e-05,0.9079299691040165,0.8158385706578672,4469,4347,457,437,0.9692485590041999,0.9687137680035981
23,warmup_ratio-0.2,weight_decay-0.005,train_batch_size-32,learning_rate-1e-05,learning_rate-4e-05,0.9079299691040165,0.815838052017606,4468,4348,456,438,0.9692682251473412,0.968723415586692
245,weight_decay-0.005,train_batch_size-32,dropout-0.05,learning_rate-4e-05,train_batch_size-8,0.9079299691040165,0.815838052017606,4468,4348,456,438,0.9689580007555871,0.9683570322710635
117,warmup_ratio-0.2,train_batch_size-32,dropout-0.05,warmup_ratio-0.05,learning_rate-4e-05,0.9079299691040165,0.8158385706578672,4469,4347,457,437,0.9692485590041999,0.9687137680035981
102,warmup_ratio-0.2,train_batch_size-32,default,warmup_ratio-0.05,learning_rate-4e-05,0.9079299691040165,0.8158385706578672,4469,4347,457,437,0.9692485590041999,0.9687137680035981
350,train_batch_size-32,default,dropout-0.05,learning_rate-4e-05,train_batch_size-8,0.9079299691040165,0.815838052017606,4468,4348,456,438,0.968965341085174,0.9683632008300717
255,weight_decay-0.005,train_batch_size-32,dropout-0.2,learning_rate-4e-05,train_batch_size-8,0.9079299691040165,0.815838052017606,4468,4348,456,438,0.9689580007555871,0.9683570322710635
339,train_batch_size-32,default,dropout-0.05,dropout-0.2,learning_rate-4e-05,0.9079299691040165,0.8158392278121717,4470,4346,458,436,0.9691039799691316,0.9685568118380343
392,train_batch_size-32,dropout-0.2,weight_decay-0.02,learning_rate-1e-05,learning_rate-4e-05,0.9079299691040165,0.8158392278121717,4470,4346,458,436,0.9692680554287381,0.968704331009676
380,train_batch_size-32,dropout-0.05,dropout-0.2,learning_rate-4e-05,train_batch_size-8,0.9079299691040165,0.815838052017606,4468,4348,456,438,0.968965341085174,0.9683632008300717
230,weight_decay-0.005,train_batch_size-32,default,learning_rate-4e-05,train_batch_size-8,0.9079299691040165,0.815838052017606,4468,4348,456,438,0.9689580007555871,0.9683570322710635
382,train_batch_size-32,dropout-0.05,weight_decay-0.02,learning_rate-1e-05,learning_rate-4e-05,0.9079299691040165,0.8158392278121717,4470,4346,458,436,0.9692680554287381,0.968704331009676
364,train_batch_size-32,default,weight_decay-0.02,warmup_ratio-0.05,learning_rate-4e-05,0.907826982492276,0.8156335998138028,4470,4345,459,436,0.9692113482004566,0.9686507854293157
234,weight_decay-0.005,train_batch_size-32,dropout-0.05,dropout-0.2,learning_rate-4e-05,0.907826982492276,0.8156328746767709,4469,4346,458,437,0.9691146298114799,0.9685712034008231
219,weight_decay-0.005,train_batch_size-32,default,dropout-0.2,learning_rate-4e-05,0.907826982492276,0.8156328746767709,4469,4346,458,437,0.9691146298114799,0.9685712034008231
214,weight_decay-0.005,train_batch_size-32,default,dropout-0.05,learning_rate-4e-05,0.907826982492276,0.8156328746767709,4469,4346,458,437,0.9691146298114799,0.9685712034008231
384,train_batch_size-32,dropout-0.05,weight_decay-0.02,warmup_ratio-0.05,learning_rate-4e-05,0.907826982492276,0.8156335998138028,4470,4345,459,436,0.9692113482004566,0.9686507854293157
394,train_batch_size-32,dropout-0.2,weight_decay-0.02,warmup_ratio-0.05,learning_rate-4e-05,0.907826982492276,0.8156335998138028,4470,4345,459,436,0.9692113482004566,0.9686507854293157
370,train_batch_size-32,default,warmup_ratio-0.05,learning_rate-4e-05,train_batch_size-8,0.9077239958805355,0.8154256634742654,4466,4348,456,440,0.969046296858882,0.9684525120460352
228,weight_decay-0.005,train_batch_size-32,default,warmup_ratio-0.05,learning_rate-4e-05,0.9077239958805355,0.8154265574206155,4468,4346,458,438,0.9692164185437261,0.9686877764547737
238,weight_decay-0.005,train_batch_size-32,dropout-0.05,weight_decay-0.02,learning_rate-4e-05,0.9077239958805355,0.8154265574206155,4468,4346,458,438,0.9691166027902417,0.9685500326482619
285,weight_decay-0.005,default,dropout-0.2,learning_rate-1e-05,warmup_ratio-0.05,0.9077239958805355,0.8154280051434365,4470,4344,460,436,0.9688501021536271,0.968291392777244
97,warmup_ratio-0.2,train_batch_size-32,default,weight_decay-0.02,learning_rate-4e-05,0.9077239958805355,0.8154280051434365,4470,4344,460,436,0.9691509283777311,0.9685834967801649
100,warmup_ratio-0.2,train_batch_size-32,default,learning_rate-1e-05,learning_rate-4e-05,0.9077239958805355,0.8154260412280068,4467,4347,457,439,0.9692935768636886,0.968751696222091
397,train_batch_size-32,dropout-0.2,learning_rate-1e-05,warmup_ratio-0.05,learning_rate-4e-05,0.9077239958805355,0.8154300066868486,4472,4342,462,434,0.969350665958827,0.9688162336168665
112,warmup_ratio-0.2,train_batch_size-32,dropout-0.05,weight_decay-0.02,learning_rate-4e-05,0.9077239958805355,0.8154280051434365,4470,4344,460,436,0.9691509283777311,0.9685834967801649
115,warmup_ratio-0.2,train_batch_size-32,dropout-0.05,learning_rate-1e-05,learning_rate-4e-05,0.9077239958805355,0.8154260412280068,4467,4347,457,439,0.9692935768636886,0.968751696222091
390,train_batch_size-32,dropout-0.05,warmup_ratio-0.05,learning_rate-4e-05,train_batch_size-8,0.9077239958805355,0.8154256634742654,4466,4348,456,440,0.969046296858882,0.9684525120460352
125,warmup_ratio-0.2,train_batch_size-32,dropout-0.2,learning_rate-1e-05,learning_rate-4e-05,0.9077239958805355,0.8154260412280068,4467,4347,457,439,0.9692935768636886,0.968751696222091
367,train_batch_size-32,default,learning_rate-1e-05,warmup_ratio-0.05,learning_rate-4e-05,0.9077239958805355,0.8154300066868486,4472,4342,462,434,0.969350665958827,0.9688162336168665
248,weight_decay-0.005,train_batch_size-32,dropout-0.2,weight_decay-0.02,learning_rate-4e-05,0.9077239958805355,0.8154265574206155,4468,4346,458,438,0.9691166027902417,0.9685500326482619
400,train_batch_size-32,dropout-0.2,warmup_ratio-0.05,learning_rate-4e-05,train_batch_size-8,0.9077239958805355,0.8154256634742654,4466,4348,456,440,0.969046296858882,0.9684525120460352
223,weight_decay-0.005,train_batch_size-32,default,weight_decay-0.02,learning_rate-4e-05,0.9077239958805355,0.8154265574206155,4468,4346,458,438,0.9691166027902417,0.9685500326482619
253,weight_decay-0.005,train_batch_size-32,dropout-0.2,warmup_ratio-0.05,learning_rate-4e-05,0.9077239958805355,0.8154265574206155,4468,4346,458,438,0.9692164185437261,0.9686877764547737
