,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
360,train_batch_size-32,default,dropout-0.2,learning_rate-4e-05,train_batch_size-8,0.9083419155509783,0.8166616887100296,4469,4351,453,437,0.9693091061158778,0.968759317534367
380,train_batch_size-32,dropout-0.05,dropout-0.2,learning_rate-4e-05,train_batch_size-8,0.9083419155509783,0.8166616887100296,4469,4351,453,437,0.9693091061158778,0.968759317534367
350,train_batch_size-32,default,dropout-0.05,learning_rate-4e-05,train_batch_size-8,0.9083419155509783,0.8166616887100296,4469,4351,453,437,0.9693091061158778,0.968759317534367
382,train_batch_size-32,dropout-0.05,weight_decay-0.02,learning_rate-1e-05,learning_rate-4e-05,0.9081359423274974,0.8162512435670543,4471,4347,457,435,0.9694957541497048,0.9689771786993217
370,train_batch_size-32,default,warmup_ratio-0.05,learning_rate-4e-05,train_batch_size-8,0.9081359423274974,0.8162494363628349,4467,4351,453,439,0.9693848854721896,0.9688542729867528
390,train_batch_size-32,dropout-0.05,warmup_ratio-0.05,learning_rate-4e-05,train_batch_size-8,0.9081359423274974,0.8162494363628349,4467,4351,453,439,0.9693848854721896,0.9688542729867528
362,train_batch_size-32,default,weight_decay-0.02,learning_rate-1e-05,learning_rate-4e-05,0.9081359423274974,0.8162512435670543,4471,4347,457,435,0.9694957541497048,0.9689771786993217
392,train_batch_size-32,dropout-0.2,weight_decay-0.02,learning_rate-1e-05,learning_rate-4e-05,0.9081359423274974,0.8162512435670543,4471,4347,457,435,0.9694957541497048,0.9689771786993217
400,train_batch_size-32,dropout-0.2,warmup_ratio-0.05,learning_rate-4e-05,train_batch_size-8,0.9081359423274974,0.8162494363628349,4467,4351,453,439,0.9693848854721896,0.9688542729867528
245,weight_decay-0.005,train_batch_size-32,dropout-0.05,learning_rate-4e-05,train_batch_size-8,0.9080329557157569,0.8160435373843864,4467,4350,454,439,0.9693251020942256,0.9687880658373347
230,weight_decay-0.005,train_batch_size-32,default,learning_rate-4e-05,train_batch_size-8,0.9080329557157569,0.8160435373843864,4467,4350,454,439,0.9693251020942256,0.9687880658373347
257,weight_decay-0.005,train_batch_size-32,weight_decay-0.02,learning_rate-1e-05,learning_rate-4e-05,0.9080329557157569,0.816045616853744,4471,4346,458,435,0.9695009942115772,0.9689828399179102
255,weight_decay-0.005,train_batch_size-32,dropout-0.2,learning_rate-4e-05,train_batch_size-8,0.9080329557157569,0.8160435373843864,4467,4350,454,439,0.9693251020942256,0.9687880658373347
131,warmup_ratio-0.2,train_batch_size-32,weight_decay-0.02,learning_rate-1e-05,learning_rate-4e-05,0.9079299691040165,0.8158385706578672,4469,4347,457,437,0.9694843405736422,0.9689586769808919
358,train_batch_size-32,default,dropout-0.2,warmup_ratio-0.05,learning_rate-4e-05,0.9079299691040165,0.8158385706578672,4469,4347,457,437,0.9694463023917084,0.9689281467248456
348,train_batch_size-32,default,dropout-0.05,warmup_ratio-0.05,learning_rate-4e-05,0.9079299691040165,0.8158385706578672,4469,4347,457,437,0.9694463023917084,0.9689281467248456
139,warmup_ratio-0.2,train_batch_size-32,warmup_ratio-0.05,learning_rate-4e-05,train_batch_size-8,0.9079299691040165,0.815838052017606,4468,4348,456,438,0.9693789241062533,0.9688397776788047
133,warmup_ratio-0.2,train_batch_size-32,weight_decay-0.02,warmup_ratio-0.05,learning_rate-4e-05,0.9079299691040165,0.8158385706578672,4469,4347,457,437,0.9694432474568515,0.9688992635635425
3,warmup_ratio-0.2,weight_decay-0.005,train_batch_size-32,default,learning_rate-1e-05,0.9079299691040165,0.815840957684774,4472,4344,460,434,0.9692711527932457,0.9687246748186518
378,train_batch_size-32,dropout-0.05,dropout-0.2,warmup_ratio-0.05,learning_rate-4e-05,0.9079299691040165,0.8158385706578672,4469,4347,457,437,0.9694463023917084,0.9689281467248456
9,warmup_ratio-0.2,weight_decay-0.005,train_batch_size-32,dropout-0.05,learning_rate-1e-05,0.9079299691040165,0.815840957684774,4472,4344,460,434,0.9692711527932457,0.9687246748186518
14,warmup_ratio-0.2,weight_decay-0.005,train_batch_size-32,dropout-0.2,learning_rate-1e-05,0.9079299691040165,0.815840957684774,4472,4344,460,434,0.9692711527932457,0.9687246748186518
373,train_batch_size-32,dropout-0.05,dropout-0.2,weight_decay-0.02,learning_rate-4e-05,0.907826982492276,0.815632288021472,4468,4347,457,438,0.9693612097270484,0.9688056516983453
339,train_batch_size-32,default,dropout-0.05,dropout-0.2,learning_rate-4e-05,0.907826982492276,0.8156335998138028,4470,4345,459,436,0.9693403979833356,0.9688047599125386
23,warmup_ratio-0.2,weight_decay-0.005,train_batch_size-32,learning_rate-1e-05,learning_rate-4e-05,0.907826982492276,0.815632288021472,4468,4347,457,438,0.9695107530312591,0.9690130837488624
353,train_batch_size-32,default,dropout-0.2,weight_decay-0.02,learning_rate-4e-05,0.907826982492276,0.815632288021472,4468,4347,457,438,0.9693612097270484,0.9688056516983453
343,train_batch_size-32,default,dropout-0.05,weight_decay-0.02,learning_rate-4e-05,0.907826982492276,0.815632288021472,4468,4347,457,438,0.9693612097270484,0.9688056516983453
